fecha;cod_ine;CCAA;total;tipo;Pob_CCAA_2019;UCIS_Públicos;UCIS_Privados;UCI_Total
27/02/2020;1;Andalucia;1;casos;8414240;572;162;734
28/02/2020;1;Andalucia;6;casos;8414240;572;162;734
29/02/2020;1;Andalucia;8;casos;8414240;572;162;734
01/03/2020;1;Andalucia;12;casos;8414240;572;162;734
02/03/2020;1;Andalucia;12;casos;8414240;572;162;734
03/03/2020;1;Andalucia;13;casos;8414240;572;162;734
04/03/2020;1;Andalucia;13;casos;8414240;572;162;734
05/03/2020;1;Andalucia;12;casos;8414240;572;162;734
06/03/2020;1;Andalucia;21;casos;8414240;572;162;734
07/03/2020;1;Andalucia;27;casos;8414240;572;162;734
08/03/2020;1;Andalucia;35;casos;8414240;572;162;734
09/03/2020;1;Andalucia;54;casos;8414240;572;162;734
10/03/2020;1;Andalucia;71;casos;8414240;572;162;734
11/03/2020;1;Andalucia;90;casos;8414240;572;162;734
12/03/2020;1;Andalucia;115;casos;8414240;572;162;734
13/03/2020;1;Andalucia;219;casos;8414240;572;162;734
14/03/2020;1;Andalucia;269;casos;8414240;572;162;734
15/03/2020;1;Andalucia;437;casos;8414240;572;162;734
16/03/2020;1;Andalucia;554;casos;8414240;572;162;734
17/03/2020;1;Andalucia;683;casos;8414240;572;162;734
18/03/2020;1;Andalucia;859;casos;8414240;572;162;734
19/03/2020;1;Andalucia;1008;casos;8414240;572;162;734
20/03/2020;1;Andalucia;1287;casos;8414240;572;162;734
21/03/2020;1;Andalucia;1515;casos;8414240;572;162;734
22/03/2020;1;Andalucia;1725;casos;8414240;572;162;734
23/03/2020;1;Andalucia;1961;casos;8414240;572;162;734
24/03/2020;1;Andalucia;2471;casos;8414240;572;162;734
25/03/2020;1;Andalucia;3010;casos;8414240;572;162;734
26/03/2020;1;Andalucia;3406;casos;8414240;572;162;734
27/03/2020;1;Andalucia;3793;casos;8414240;572;162;734
28/03/2020;1;Andalucia;4277;casos;8414240;572;162;734
29/03/2020;1;Andalucia;4682;casos;8414240;572;162;734
30/03/2020;1;Andalucia;5405;casos;8414240;572;162;734
31/03/2020;1;Andalucia;5818;casos;8414240;572;162;734
01/04/2020;1;Andalucia;6392;casos;8414240;572;162;734
02/04/2020;1;Andalucia;6972;casos;8414240;572;162;734
03/04/2020;1;Andalucia;7374;casos;8414240;572;162;734
04/04/2020;1;Andalucia;7869;casos;8414240;572;162;734
05/04/2020;1;Andalucia;8301;casos;8414240;572;162;734
06/04/2020;1;Andalucia;8581;casos;8414240;572;162;734
07/04/2020;1;Andalucia;8767;casos;8414240;572;162;734
08/04/2020;1;Andalucia;8997;casos;8414240;572;162;734
09/04/2020;1;Andalucia;9261;casos;8414240;572;162;734
10/04/2020;1;Andalucia;9510;casos;8414240;572;162;734
11/04/2020;1;Andalucia;9712;casos;8414240;572;162;734
12/04/2020;1;Andalucia;10006;casos;8414240;572;162;734
13/04/2020;1;Andalucia;10187;casos;8414240;572;162;734
14/04/2020;1;Andalucia;10192;casos;8414240;572;162;734
15/04/2020;1;Andalucia;10595;casos;8414240;572;162;734
27/02/2020;2;Aragon;0;casos;1319291;113;22;135
28/02/2020;2;Aragon;1;casos;1319291;113;22;135
29/02/2020;2;Aragon;1;casos;1319291;113;22;135
01/03/2020;2;Aragon;0;casos;1319291;113;22;135
02/03/2020;2;Aragon;0;casos;1319291;113;22;135
03/03/2020;2;Aragon;0;casos;1319291;113;22;135
04/03/2020;2;Aragon;0;casos;1319291;113;22;135
05/03/2020;2;Aragon;1;casos;1319291;113;22;135
06/03/2020;2;Aragon;6;casos;1319291;113;22;135
07/03/2020;2;Aragon;11;casos;1319291;113;22;135
08/03/2020;2;Aragon;13;casos;1319291;113;22;135
09/03/2020;2;Aragon;13;casos;1319291;113;22;135
10/03/2020;2;Aragon;38;casos;1319291;113;22;135
11/03/2020;2;Aragon;45;casos;1319291;113;22;135
12/03/2020;2;Aragon;64;casos;1319291;113;22;135
13/03/2020;2;Aragon;80;casos;1319291;113;22;135
14/03/2020;2;Aragon;80;casos;1319291;113;22;135
15/03/2020;2;Aragon;147;casos;1319291;113;22;135
16/03/2020;2;Aragon;174;casos;1319291;113;22;135
17/03/2020;2;Aragon;207;casos;1319291;113;22;135
18/03/2020;2;Aragon;226;casos;1319291;113;22;135
19/03/2020;2;Aragon;281;casos;1319291;113;22;135
20/03/2020;2;Aragon;360;casos;1319291;113;22;135
21/03/2020;2;Aragon;424;casos;1319291;113;22;135
22/03/2020;2;Aragon;532;casos;1319291;113;22;135
23/03/2020;2;Aragon;638;casos;1319291;113;22;135
24/03/2020;2;Aragon;758;casos;1319291;113;22;135
25/03/2020;2;Aragon;907;casos;1319291;113;22;135
26/03/2020;2;Aragon;1116;casos;1319291;113;22;135
27/03/2020;2;Aragon;1338;casos;1319291;113;22;135
28/03/2020;2;Aragon;1592;casos;1319291;113;22;135
29/03/2020;2;Aragon;1858;casos;1319291;113;22;135
30/03/2020;2;Aragon;2078;casos;1319291;113;22;135
31/03/2020;2;Aragon;2272;casos;1319291;113;22;135
01/04/2020;2;Aragon;2491;casos;1319291;113;22;135
02/04/2020;2;Aragon;2700;casos;1319291;113;22;135
03/04/2020;2;Aragon;2889;casos;1319291;113;22;135
04/04/2020;2;Aragon;3078;casos;1319291;113;22;135
05/04/2020;2;Aragon;3232;casos;1319291;113;22;135
06/04/2020;2;Aragon;3347;casos;1319291;113;22;135
07/04/2020;2;Aragon;3449;casos;1319291;113;22;135
08/04/2020;2;Aragon;3549;casos;1319291;113;22;135
09/04/2020;2;Aragon;3685;casos;1319291;113;22;135
10/04/2020;2;Aragon;3831;casos;1319291;113;22;135
11/04/2020;2;Aragon;3969;casos;1319291;113;22;135
12/04/2020;2;Aragon;4070;casos;1319291;113;22;135
13/04/2020;2;Aragon;4187;casos;1319291;113;22;135
14/04/2020;2;Aragon;4245;casos;1319291;113;22;135
15/04/2020;2;Aragon;4338;casos;1319291;113;22;135
27/02/2020;3;Asturias;0;casos;1022800;86;7;93
28/02/2020;3;Asturias;0;casos;1022800;86;7;93
29/02/2020;3;Asturias;0;casos;1022800;86;7;93
01/03/2020;3;Asturias;1;casos;1022800;86;7;93
02/03/2020;3;Asturias;1;casos;1022800;86;7;93
03/03/2020;3;Asturias;1;casos;1022800;86;7;93
04/03/2020;3;Asturias;2;casos;1022800;86;7;93
05/03/2020;3;Asturias;5;casos;1022800;86;7;93
06/03/2020;3;Asturias;5;casos;1022800;86;7;93
07/03/2020;3;Asturias;5;casos;1022800;86;7;93
08/03/2020;3;Asturias;7;casos;1022800;86;7;93
09/03/2020;3;Asturias;7;casos;1022800;86;7;93
10/03/2020;3;Asturias;22;casos;1022800;86;7;93
11/03/2020;3;Asturias;32;casos;1022800;86;7;93
12/03/2020;3;Asturias;47;casos;1022800;86;7;93
13/03/2020;3;Asturias;67;casos;1022800;86;7;93
14/03/2020;3;Asturias;92;casos;1022800;86;7;93
15/03/2020;3;Asturias;137;casos;1022800;86;7;93
16/03/2020;3;Asturias;177;casos;1022800;86;7;93
17/03/2020;3;Asturias;193;casos;1022800;86;7;93
18/03/2020;3;Asturias;242;casos;1022800;86;7;93
19/03/2020;3;Asturias;292;casos;1022800;86;7;93
20/03/2020;3;Asturias;344;casos;1022800;86;7;93
21/03/2020;3;Asturias;486;casos;1022800;86;7;93
22/03/2020;3;Asturias;545;casos;1022800;86;7;93
23/03/2020;3;Asturias;594;casos;1022800;86;7;93
24/03/2020;3;Asturias;662;casos;1022800;86;7;93
25/03/2020;3;Asturias;779;casos;1022800;86;7;93
26/03/2020;3;Asturias;841;casos;1022800;86;7;93
27/03/2020;3;Asturias;900;casos;1022800;86;7;93
28/03/2020;3;Asturias;1004;casos;1022800;86;7;93
29/03/2020;3;Asturias;1088;casos;1022800;86;7;93
30/03/2020;3;Asturias;1158;casos;1022800;86;7;93
31/03/2020;3;Asturias;1236;casos;1022800;86;7;93
01/04/2020;3;Asturias;1322;casos;1022800;86;7;93
02/04/2020;3;Asturias;1384;casos;1022800;86;7;93
03/04/2020;3;Asturias;1433;casos;1022800;86;7;93
04/04/2020;3;Asturias;1522;casos;1022800;86;7;93
05/04/2020;3;Asturias;1605;casos;1022800;86;7;93
06/04/2020;3;Asturias;1646;casos;1022800;86;7;93
07/04/2020;3;Asturias;1679;casos;1022800;86;7;93
08/04/2020;3;Asturias;1705;casos;1022800;86;7;93
09/04/2020;3;Asturias;1737;casos;1022800;86;7;93
10/04/2020;3;Asturias;1799;casos;1022800;86;7;93
11/04/2020;3;Asturias;1827;casos;1022800;86;7;93
12/04/2020;3;Asturias;1892;casos;1022800;86;7;93
13/04/2020;3;Asturias;1958;casos;1022800;86;7;93
14/04/2020;3;Asturias;2051;casos;1022800;86;7;93
15/04/2020;3;Asturias;2096;casos;1022800;86;7;93
27/02/2020;4;Baleares;1;casos;1149460;78;46;124
28/02/2020;4;Baleares;1;casos;1149460;78;46;124
29/02/2020;4;Baleares;2;casos;1149460;78;46;124
01/03/2020;4;Baleares;2;casos;1149460;78;46;124
02/03/2020;4;Baleares;2;casos;1149460;78;46;124
03/03/2020;4;Baleares;2;casos;1149460;78;46;124
04/03/2020;4;Baleares;5;casos;1149460;78;46;124
05/03/2020;4;Baleares;6;casos;1149460;78;46;124
06/03/2020;4;Baleares;6;casos;1149460;78;46;124
07/03/2020;4;Baleares;6;casos;1149460;78;46;124
08/03/2020;4;Baleares;8;casos;1149460;78;46;124
09/03/2020;4;Baleares;11;casos;1149460;78;46;124
10/03/2020;4;Baleares;13;casos;1149460;78;46;124
11/03/2020;4;Baleares;16;casos;1149460;78;46;124
12/03/2020;4;Baleares;22;casos;1149460;78;46;124
13/03/2020;4;Baleares;30;casos;1149460;78;46;124
