cod_ine;Pob_CCAA_2019;CCAA;UCIS_Públicos;UCIS_Privados;UCI_Total
1;8414240;ANDALUCIA;572;162;734
2;1319291;ARAGON;113;22;135
3;1022800;ASTURIAS;86;7;93
4;1149460;ILLES BALEARS;78;46;124
5;2153389;CANARIAS;187;50;237
6;581078;CANTABRIA;40;0;40
7;2399548;CASTILLA Y LEON;180;20;200
8;2032863;CASTILLA-LA MANCHA;155;13;168
9;7675217;CATALUNA;511;141;652
10;5003769;COMUNIDAD VALENCIANA;450;101;551
11;1067710;EXTREMADURA;97;5;102
12;2699499;GALICIA;215;48;263
13;6663394;MADRID;479;225;704
14;1493898;REGION DE MURCIA;112;11;123
15;654214;C. FORAL DE NAVARRA;46;19;65
16;2207776;PAIS VASCO;158;21;179
